row_id,source_file_url,source_page_url,sha256,duplicate_of,fetched_at,note
4ch0--2016-06--4CH0-2CR--ms,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/June 2016 (R) MS - Paper 2C Edexcel Chemistry IGCSE.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,95ede68db0160975035273a5460bf94725aa970bab2139a431a293df46265ad0,past-papers/pearson-edexcel/international-gcse/chemistry/4ch0/past-papers/2016-06/4CH0-2C/ms.pdf,2026-09-11T11:55:58Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch0--2016-06--4CH0-2CR--qp,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/June 2016 (R) QP - Paper 2C Edexcel Chemistry IGCSE.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,af18b5e37a089345ebff06e7ed04d0e5d414943c23b49425ca07311c125ccd2d,past-papers/pearson-edexcel/international-gcse/chemistry/4ch0/past-papers/2016-06/4CH0-2C/qp.pdf,2026-09-11T11:56:02Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch0--2017-06--4CH0-1CR--ms,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/June 2017 (R) MS - Paper 1C Edexcel Chemistry IGCSE.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,f1b6e819adc5bfbdfb64c095c7b53d18b4b95dcdc1c5b6a63218c52e1d300eac,past-papers/pearson-edexcel/international-gcse/chemistry/4ch0/past-papers/2017-06/4CH0-1C/ms.pdf,2026-09-11T11:56:06Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch0--2017-06--4CH0-1CR--qp,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/June 2017 (R) QP - Paper 1C Edexcel Chemistry IGCSE.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,fa8769bea3b6ef523b0e2c6a3f339fab8502ddf317ba7d9444cb8da034bc1c5b,past-papers/pearson-edexcel/international-gcse/chemistry/4ch0/past-papers/2017-06/4CH0-1C/qp.pdf,2026-09-11T11:56:10Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch0--2017-06--4CH0-2CR--ms,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/June 2017 (R) MS - Paper 2C Edexcel Chemistry IGCSE.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,8f78764dd2c1e35423ec2821cdf61004a71b80b3db3cf1ba054e6fb19f92e11e,past-papers/pearson-edexcel/international-gcse/chemistry/4ch0/past-papers/2017-06/4CH0-2C/ms.pdf,2026-09-11T11:56:14Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch0--2017-06--4CH0-2CR--qp,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/June 2017 (R) QP - Paper 2C Edexcel Chemistry IGCSE.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,50d9308f0b5534aee8c0c27d5387e84d73e156158154bdbc34394d08fd9d0d43,past-papers/pearson-edexcel/international-gcse/chemistry/4ch0/past-papers/2017-06/4CH0-2C/qp.pdf,2026-09-11T11:56:18Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch1--2020-06--4CH1-1CR--ms,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/New-Spec-Paper-1/MS/June 2020 (R) MS.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,814bcb8761067882f5c6d887789cb7dd3574b6c6e5199966de10900aa336c06a,past-papers/pearson-edexcel/international-gcse/chemistry/4ch1/past-papers/2020-11/4CH1-1CR/ms.pdf,2026-09-11T11:56:22Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch1--2020-06--4CH1-1CR--qp,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/New-Spec-Paper-1/QP/June 2020 (R) QP.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,70e0ade7f2e69199580ca8bf749b29350b2425b81fe26e72d1640242bf371e91,past-papers/pearson-edexcel/international-gcse/chemistry/4ch1/past-papers/2020-06/4CH1-1C/qp.pdf,2026-09-11T11:56:25Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch1--2020-06--4CH1-2CR--ms,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/New-Spec-Paper-2/MS/June 2020 (R) MS.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,ad6985fbc6e463d0de09c53028cc6c9694d0cad6a149300a369424252d6cd523,past-papers/pearson-edexcel/international-gcse/chemistry/4ch1/past-papers/2020-11/4CH1-2CR/ms.pdf,2026-09-11T11:56:30Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch1--2020-06--4CH1-2CR--qp,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/New-Spec-Paper-2/QP/June 2020 (R) QP.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,3a280ff330b75f3ca8853c572ff39361d0bd7add2475647916f44b27bdd36943,past-papers/pearson-edexcel/international-gcse/chemistry/4ch1/past-papers/2020-06/4CH1-2C/qp.pdf,2026-09-11T11:56:34Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
