board,qualification,subject,spec_slug,series,paper_ref,variant,material_type,source_page_url,source_file_url,expected_identity,status
pearson-edexcel,international-a-level,chemistry,wch11,2020-01,WCH11-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/MS/January 2020 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 January 2020 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2020-01,WCH11-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/QP/January 2020 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 January 2020 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2020-01,WCH12-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/MS/January 2020 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 January 2020 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2020-01,WCH12-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/QP/January 2020 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 January 2020 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2020-01,WCH13-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/MS/January 2020 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 January 2020 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2020-01,WCH13-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/QP/January 2020 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 January 2020 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch14,2020-01,WCH14-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/MS/January 2020 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH14/01 January 2020 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch14,2020-01,WCH14-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/QP/January 2020 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH14/01 January 2020 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2020-10,WCH11-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/MS/October 2020 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 October 2020 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2020-10,WCH11-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/QP/October 2020 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 October 2020 question paper [PMT label: October = IAL session],normalized
